"Precinct: 06001 ","Polling Place: ",1,,,"Precinct: 06002 ","Polling Place: ",1,,,"Precinct: 06003 ","Polling Place: ",1,,
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,172,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,425,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,220
"WEAH, George Manneh (CDC) ",,,,18,"WEAH, George Manneh (CDC) ",,,,6,"WEAH, George Manneh (CDC) ",,,,30
,"Valid Votes: ",,,190,,"Valid Votes: ",,,431,,"Valid Votes: ",,,250
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,5
,"Total Votes: ",,,196,,"Total Votes: ",,,434,,"Total Votes: ",,,255
"Precinct: 06038 ","Polling Place: ",2,,,"Precinct: 06038 ","Polling Place: ",3,,,"Precinct: 06039 ","Polling Place: ",1,,
"Haindii Palava Hut, Haindii ",,,,,"Haindii Palava Hut, Haindii ",,,,,"Bouduala Palava Hut, Bouduala",,,,
"Registered Voters: ",474,,,,"Registered Voters: ",484,,,,"Registered Voters: ",455,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,211,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,202,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,220
"WEAH, George Manneh (CDC) ",,,,31,"WEAH, George Manneh (CDC) ",,,,40,"WEAH, George Manneh (CDC) ",,,,35
,"Valid Votes: ",,,242,,"Valid Votes: ",,,242,,"Valid Votes: ",,,255
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,6
,"Total Votes: ",,,247,,"Total Votes: ",,,248,,"Total Votes: ",,,261
"Precinct: 06040 ","Polling Place: ",1,,,"Precinct: 06040 ","Polling Place: ",2,,,"Precinct: 06041 ","Polling Place: ",1,,
"Popota Ta Palava Hut, Popota Ta ",,,,,"Popota Ta Palava Hut, Popota Ta ",,,,,"Neipokorkoli-ta Palava Hut, Neipokorkoli-ta",,,,
"Registered Voters: ",460,,,,"Registered Voters: ",510,,,,"Registered Voters: ",502,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,197,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,226,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,94
"WEAH, George Manneh (CDC) ",,,,13,"WEAH, George Manneh (CDC) ",,,,25,"WEAH, George Manneh (CDC) ",,,,67
,"Valid Votes: ",,,210,,"Valid Votes: ",,,251,,"Valid Votes: ",,,161
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,6
,"Total Votes: ",,,211,,"Total Votes: ",,,253,,"Total Votes: ",,,167
"Precinct: 06041 ","Polling Place: ",2,,,"Precinct: 06042 ","Polling Place: ",1,,,"Precinct: 06042 ","Polling Place: ",2,,
"Neipokorkoli-ta Palava Hut, Neipokorkoli-ta ",,,,,"Bong Mine Recreational Hall, Bong Tow n ",,,,,"Bong Mine Recreational Hall, Bong Tow n",,,,
"Registered Voters: ",484,,,,"Registered Voters: ",582,,,,"Registered Voters: ",582,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,95,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,287,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,300
"WEAH, George Manneh (CDC) ",,,,87,"WEAH, George Manneh (CDC) ",,,,62,"WEAH, George Manneh (CDC) ",,,,54
,"Valid Votes: ",,,182,,"Valid Votes: ",,,349,,"Valid Votes: ",,,354
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,19,,"Invalid Votes: ",,,6
,"Total Votes: ",,,188,,"Total Votes: ",,,368,,"Total Votes: ",,,360
"Precinct: 06042 ","Polling Place: ",3,,,"Precinct: 06042 ","Polling Place: ",4,,,"Precinct: 06042 ","Polling Place: ",5,,
"Bong Mine Recreational Hall, Bong Tow n ",,,,,"Bong Mine Recreational Hall, Bong Tow n ",,,,,"Bong Mine Recreational Hall, Bong Tow n",,,,
"Registered Voters: ",622,,,,"Registered Voters: ",560,,,,"Registered Voters: ",568,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,304,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,298,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,259
"WEAH, George Manneh (CDC) ",,,,56,"WEAH, George Manneh (CDC) ",,,,57,"WEAH, George Manneh (CDC) ",,,,58
,"Valid Votes: ",,,360,,"Valid Votes: ",,,355,,"Valid Votes: ",,,317
,"Invalid Votes: ",,,20,,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,5
,"Total Votes: ",,,380,,"Total Votes: ",,,361,,"Total Votes: ",,,322
"Precinct: 06043 ","Polling Place: ",1,,,"Precinct: 06044 ","Polling Place: ",1,,,"Precinct: 06045 ","Polling Place: ",1,,
"Degai Palava Hut, Degai ",,,,,"Monokpan Palava Hut, Monokpan ",,,,,"Lutheran Elem. School Building, Sanoyea",,,,
"Registered Voters: ",583,,,,"Registered Voters: ",136,,,,"Registered Voters: ",528,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,176,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,78,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,199
"WEAH, George Manneh (CDC) ",,,,34,"WEAH, George Manneh (CDC) ",,,,20,"WEAH, George Manneh (CDC) ",,,,38
,"Valid Votes: ",,,210,,"Valid Votes: ",,,98,,"Valid Votes: ",,,237
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,8
,"Total Votes: ",,,218,,"Total Votes: ",,,99,,"Total Votes: ",,,245
"Precinct: 06045 ","Polling Place: ",2,,,"Precinct: 06045 ","Polling Place: ",3,,,"Precinct: 06045 ","Polling Place: ",4,,
"Lutheran Elem. School Building, Sanoyea ",,,,,"Lutheran Elem. School Building, Sanoyea ",,,,,"Lutheran Elem. School Building, Sanoyea",,,,
"Registered Voters: ",527,,,,"Registered Voters: ",566,,,,"Registered Voters: ",545,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,228,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,217,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,225
"WEAH, George Manneh (CDC) ",,,,44,"WEAH, George Manneh (CDC) ",,,,43,"WEAH, George Manneh (CDC) ",,,,22
,"Valid Votes: ",,,272,,"Valid Votes: ",,,260,,"Valid Votes: ",,,247
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,5
,"Total Votes: ",,,277,,"Total Votes: ",,,260,,"Total Votes: ",,,252
"Precinct: 06045 ","Polling Place: ",5,,,"Precinct: 06046 ","Polling Place: ",1,,,"Precinct: 06046 ","Polling Place: ",2,,
"Lutheran Elem. School Building, Sanoyea ",,,,,"Kelepei Palava Hut, Kelepei ",,,,,"Kelepei Palava Hut, Kelepei",,,,
"Registered Voters: ",530,,,,"Registered Voters: ",499,,,,"Registered Voters: ",498,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,215,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,437,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,399
"WEAH, George Manneh (CDC) ",,,,38,"WEAH, George Manneh (CDC) ",,,,60,"WEAH, George Manneh (CDC) ",,,,43
,"Valid Votes: ",,,253,,"Valid Votes: ",,,497,,"Valid Votes: ",,,442
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,6
,"Total Votes: ",,,257,,"Total Votes: ",,,503,,"Total Votes: ",,,448
"Precinct: 06047 ","Polling Place: ",1,,,"Precinct: 06048 ","Polling Place: ",1,,,"Precinct: 06049 ","Polling Place: ",1,,
"Winnie Ta Palava , Winnie Ta ",,,,,"Darnename Palava Hut, Darnenama ",,,,,"Gbogbota Palava Hut, Gbogbota",,,,
"Registered Voters: ",439,,,,"Registered Voters: ",428,,,,"Registered Voters: ",356,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,404,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,130,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,39
"WEAH, George Manneh (CDC) ",,,,13,"WEAH, George Manneh (CDC) ",,,,53,"WEAH, George Manneh (CDC) ",,,,109
,"Valid Votes: ",,,417,,"Valid Votes: ",,,183,,"Valid Votes: ",,,148
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,3
,"Total Votes: ",,,420,,"Total Votes: ",,,183,,"Total Votes: ",,,151
"Precinct: 06049 ","Polling Place: ",2,,,"Precinct: 06050 ","Polling Place: ",1,,,"Precinct: 06050 ","Polling Place: ",2,,
"Gbogbota Palava Hut, Gbogbota ",,,,,"Gbarmokollieta Palava Hut, Gbarmokollieta ",,,,,"Gbarmokollieta Palava Hut, Gbarmokollieta",,,,
"Registered Voters: ",347,,,,"Registered Voters: ",503,,,,"Registered Voters: ",518,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,46,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,156,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,111
"WEAH, George Manneh (CDC) ",,,,85,"WEAH, George Manneh (CDC) ",,,,55,"WEAH, George Manneh (CDC) ",,,,89
,"Valid Votes: ",,,131,,"Valid Votes: ",,,211,,"Valid Votes: ",,,200
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,4
,"Total Votes: ",,,139,,"Total Votes: ",,,215,,"Total Votes: ",,,204
"Precinct: 06051 ","Polling Place: ",1,,,"Precinct: 06051 ","Polling Place: ",2,,,"Precinct: 06052 ","Polling Place: ",1,,
"Folomeni Palava Hut, Folomeni ",,,,,"Folomeni Palava Hut, Folomeni ",,,,,"Gou Palava Hut, Gou",,,,
"Registered Voters: ",540,,,,"Registered Voters: ",544,,,,"Registered Voters: ",369,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,204,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,215,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,95
"WEAH, George Manneh (CDC) ",,,,94,"WEAH, George Manneh (CDC) ",,,,63,"WEAH, George Manneh (CDC) ",,,,64
,"Valid Votes: ",,,298,,"Valid Votes: ",,,278,,"Valid Votes: ",,,159
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,3
,"Total Votes: ",,,300,,"Total Votes: ",,,281,,"Total Votes: ",,,162
"Precinct: 06052 ","Polling Place: ",2,,,"Precinct: 06053 ","Polling Place: ",1,,,"Precinct: 06053 ","Polling Place: ",2,,
"Gou Palava Hut, Gou ",,,,,"Gbonota Clinic, Gbonota ",,,,,"Gbonota Clinic, Gbonota",,,,
"Registered Voters: ",385,,,,"Registered Voters: ",532,,,,"Registered Voters: ",561,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,103,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,217,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,204
"WEAH, George Manneh (CDC) ",,,,63,"WEAH, George Manneh (CDC) ",,,,59,"WEAH, George Manneh (CDC) ",,,,65
,"Valid Votes: ",,,166,,"Valid Votes: ",,,276,,"Valid Votes: ",,,269
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,6
,"Total Votes: ",,,171,,"Total Votes: ",,,287,,"Total Votes: ",,,275
"Precinct: 06054 ","Polling Place: ",1,,,"Precinct: 06054 ","Polling Place: ",2,,,"Precinct: 06055 ","Polling Place: ",1,,
"Pia-ta Palava Hut, Pia-ta ",,,,,"Pia-ta Palava Hut, Pia-ta ",,,,,"Kilinyala Palava Hut, Kilinyala",,,,
"Registered Voters: ",532,,,,"Registered Voters: ",543,,,,"Registered Voters: ",599,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,95,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,118,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,160
"WEAH, George Manneh (CDC) ",,,,92,"WEAH, George Manneh (CDC) ",,,,80,"WEAH, George Manneh (CDC) ",,,,43
,"Valid Votes: ",,,187,,"Valid Votes: ",,,198,,"Valid Votes: ",,,203
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,9
,"Total Votes: ",,,193,,"Total Votes: ",,,205,,"Total Votes: ",,,212
"Precinct: 06056 ","Polling Place: ",1,,,"Precinct: 06056 ","Polling Place: ",2,,,"Precinct: 06057 ","Polling Place: ",1,,
"Boryorma Palava Hut, Boryormah ",,,,,"Boryorma Palava Hut, Boryormah ",,,,,"Martha Tubman Sch Building, Salala",,,,
"Registered Voters: ",358,,,,"Registered Voters: ",377,,,,"Registered Voters: ",559,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,120,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,145,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,185
"WEAH, George Manneh (CDC) ",,,,17,"WEAH, George Manneh (CDC) ",,,,15,"WEAH, George Manneh (CDC) ",,,,66
,"Valid Votes: ",,,137,,"Valid Votes: ",,,160,,"Valid Votes: ",,,251
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,18
,"Total Votes: ",,,141,,"Total Votes: ",,,161,,"Total Votes: ",,,269
"Precinct: 06057 ","Polling Place: ",2,,,"Precinct: 06057 ","Polling Place: ",3,,,"Precinct: 06057 ","Polling Place: ",4,,
"Martha Tubman Sch Building, Salala ",,,,,"Martha Tubman Sch Building, Salala ",,,,,"Martha Tubman Sch Building, Salala",,,,
"Registered Voters: ",553,,,,"Registered Voters: ",548,,,,"Registered Voters: ",582,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,166,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,210,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,204
"WEAH, George Manneh (CDC) ",,,,65,"WEAH, George Manneh (CDC) ",,,,70,"WEAH, George Manneh (CDC) ",,,,61
,"Valid Votes: ",,,231,,"Valid Votes: ",,,280,,"Valid Votes: ",,,265
,"Invalid Votes: ",,,16,,"Invalid Votes: ",,,19,,"Invalid Votes: ",,,7
,"Total Votes: ",,,247,,"Total Votes: ",,,299,,"Total Votes: ",,,272
"Precinct: 06057 ","Polling Place: ",5,,,"Precinct: 06057 ","Polling Place: ",6,,,"Precinct: 06058 ","Polling Place: ",1,,
"Martha Tubman Sch Building, Salala ",,,,,"Martha Tubman Sch Building, Salala ",,,,,"Kpakoloya Public School, Kpakoloya",,,,
"Registered Voters: ",536,,,,"Registered Voters: ",512,,,,"Registered Voters: ",453,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,189,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,221,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,123
"WEAH, George Manneh (CDC) ",,,,71,"WEAH, George Manneh (CDC) ",,,,57,"WEAH, George Manneh (CDC) ",,,,103
,"Valid Votes: ",,,260,,"Valid Votes: ",,,278,,"Valid Votes: ",,,226
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,12
,"Total Votes: ",,,269,,"Total Votes: ",,,282,,"Total Votes: ",,,238
"Precinct: 06058 ","Polling Place: ",2,,,"Precinct: 06058 ","Polling Place: ",3,,,"Precinct: 06059 ","Polling Place: ",1,,
"Kpakoloya Public School, Kpakoloya ",,,,,"Kpakoloya Public School, Kpakoloya ",,,,,"Maimu Public School, Maimu",,,,
"Registered Voters: ",470,,,,"Registered Voters: ",451,,,,"Registered Voters: ",452,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,158,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,135,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,170
"WEAH, George Manneh (CDC) ",,,,80,"WEAH, George Manneh (CDC) ",,,,77,"WEAH, George Manneh (CDC) ",,,,25
,"Valid Votes: ",,,238,,"Valid Votes: ",,,212,,"Valid Votes: ",,,195
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,20
,"Total Votes: ",,,244,,"Total Votes: ",,,224,,"Total Votes: ",,,215
"Precinct: 06059 ","Polling Place: ",2,,,"Precinct: 06059 ","Polling Place: ",3,,,"Precinct: 06060 ","Polling Place: ",1,,
"Maimu Public School, Maimu ",,,,,"Maimu Public School, Maimu ",,,,,"Wsaw yeapo Palava Hut, Saw yeapo",,,,
"Registered Voters: ",482,,,,"Registered Voters: ",439,,,,"Registered Voters: ",473,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,206,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,168,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,63
"WEAH, George Manneh (CDC) ",,,,34,"WEAH, George Manneh (CDC) ",,,,27,"WEAH, George Manneh (CDC) ",,,,83
,"Valid Votes: ",,,240,,"Valid Votes: ",,,195,,"Valid Votes: ",,,146
,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,2
,"Total Votes: ",,,250,,"Total Votes: ",,,201,,"Total Votes: ",,,148
"Precinct: 06061 ","Polling Place: ",1,,,"Precinct: 06061 ","Polling Place: ",2,,,"Precinct: 06062 ","Polling Place: ",1,,
"Tokpaipplu Clinic, Tokpaipolu ",,,,,"Tokpaipplu Clinic, Tokpaipolu ",,,,,"Nyainquell School Building, Nyainquell",,,,
"Registered Voters: ",566,,,,"Registered Voters: ",527,,,,"Registered Voters: ",301,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,250,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,226,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,170
"WEAH, George Manneh (CDC) ",,,,58,"WEAH, George Manneh (CDC) ",,,,87,"WEAH, George Manneh (CDC) ",,,,13
,"Valid Votes: ",,,308,,"Valid Votes: ",,,313,,"Valid Votes: ",,,183
,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,3
,"Total Votes: ",,,319,,"Total Votes: ",,,321,,"Total Votes: ",,,186
"Precinct: 06062 ","Polling Place: ",2,,,"Precinct: 06063 ","Polling Place: ",1,,,"Precinct: 06064 ","Polling Place: ",1,,
"Nyainquell School Building, Nyainquell ",,,,,"Santa Palava Hut, Santa ",,,,,"E. J. Yancy School Building, Totota",,,,
"Registered Voters: ",305,,,,"Registered Voters: ",398,,,,"Registered Voters: ",532,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,277,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,194,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,240
"WEAH, George Manneh (CDC) ",,,,21,"WEAH, George Manneh (CDC) ",,,,21,"WEAH, George Manneh (CDC) ",,,,64
,"Valid Votes: ",,,298,,"Valid Votes: ",,,215,,"Valid Votes: ",,,304
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,9
,"Total Votes: ",,,299,,"Total Votes: ",,,223,,"Total Votes: ",,,313
"Precinct: 06064 ","Polling Place: ",2,,,"Precinct: 06064 ","Polling Place: ",3,,,"Precinct: 06064 ","Polling Place: ",4,,
"E. J. Yancy School Building, Totota ",,,,,"E. J. Yancy School Building, Totota ",,,,,"E. J. Yancy School Building, Totota",,,,
"Registered Voters: ",551,,,,"Registered Voters: ",540,,,,"Registered Voters: ",548,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,194,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,188,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,182
"WEAH, George Manneh (CDC) ",,,,57,"WEAH, George Manneh (CDC) ",,,,56,"WEAH, George Manneh (CDC) ",,,,54
,"Valid Votes: ",,,251,,"Valid Votes: ",,,244,,"Valid Votes: ",,,236
,"Invalid Votes: ",,,18,,"Invalid Votes: ",,,15,,"Invalid Votes: ",,,13
,"Total Votes: ",,,269,,"Total Votes: ",,,259,,"Total Votes: ",,,249
"Precinct: 06065 ","Polling Place: ",1,,,"Precinct: 06065 ","Polling Place: ",2,,,"Precinct: 06065 ","Polling Place: ",3,,
"E. J. Yancy School Building, Totota ",,,,,"E. J. Yancy School Building, Totota ",,,,,"E. J. Yancy School Building, Totota",,,,
"Registered Voters: ",541,,,,"Registered Voters: ",570,,,,"Registered Voters: ",566,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,197,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,215,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,187
"WEAH, George Manneh (CDC) ",,,,57,"WEAH, George Manneh (CDC) ",,,,77,"WEAH, George Manneh (CDC) ",,,,66
,"Valid Votes: ",,,254,,"Valid Votes: ",,,292,,"Valid Votes: ",,,253
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,4
,"Total Votes: ",,,261,,"Total Votes: ",,,295,,"Total Votes: ",,,257
"Precinct: 06066 ","Polling Place: ",1,,,"Precinct: 06066 ","Polling Place: ",2,,,"Precinct: 06066 ","Polling Place: ",3,,
"E. J. Yancy School Building, Totota ",,,,,"E. J. Yancy School Building, Totota ",,,,,"E. J. Yancy School Building, Totota",,,,
"Registered Voters: ",475,,,,"Registered Voters: ",461,,,,"Registered Voters: ",487,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,171,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,210,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,230
"WEAH, George Manneh (CDC) ",,,,52,"WEAH, George Manneh (CDC) ",,,,52,"WEAH, George Manneh (CDC) ",,,,51
,"Valid Votes: ",,,223,,"Valid Votes: ",,,262,,"Valid Votes: ",,,281
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,4
,"Total Votes: ",,,225,,"Total Votes: ",,,273,,"Total Votes: ",,,285
"Precinct: 06067 ","Polling Place: ",1,,,"Precinct: 06067 ","Polling Place: ",2,,,"Precinct: 06067 ","Polling Place: ",3,,
"Felelah Public School, Felelah ",,,,,"Felelah Public School, Felelah ",,,,,"Felelah Public School, Felelah",,,,
"Registered Voters: ",577,,,,"Registered Voters: ",541,,,,"Registered Voters: ",557,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,217,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,173,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,194
"WEAH, George Manneh (CDC) ",,,,42,"WEAH, George Manneh (CDC) ",,,,51,"WEAH, George Manneh (CDC) ",,,,47
,"Valid Votes: ",,,259,,"Valid Votes: ",,,224,,"Valid Votes: ",,,241
,"Invalid Votes: ",,,15,,"Invalid Votes: ",,,32,,"Invalid Votes: ",,,11
,"Total Votes: ",,,274,,"Total Votes: ",,,256,,"Total Votes: ",,,252
"Precinct: 06067 ","Polling Place: ",4,,,"Precinct: 06067 ","Polling Place: ",5,,,"Precinct: 06068 ","Polling Place: ",1,,
