"Precinct: 30001 ","Polling Place: ",1,,,"Precinct: 30002 ","Polling Place: ",1,,,"Precinct: 30003 ","Polling Place: ",1,,
"WEAH, George Manneh (CDC) ",,,,224,"WEAH, George Manneh (CDC) ",,,,212,"WEAH, George Manneh (CDC) ",,,,247
,"Valid Votes: ",,,391,,"Valid Votes: ",,,398,,"Valid Votes: ",,,440
,"Invalid Votes: ",,,15,,"Invalid Votes: ",,,14,,"Invalid Votes: ",,,7
,"Total Votes: ",,,406,,"Total Votes: ",,,412,,"Total Votes: ",,,447
"Precinct: 30125 ","Polling Place: ",2,,,"Precinct: 30125 ","Polling Place: ",3,,,"Precinct: 30126 ","Polling Place: ",1,,
"Aben International School, Logan Tow n ",,,,,"Aben International School, Logan Tow n ",,,,,"Samuel T. Kun Memorial Sch, Logan Tow n",,,,
"Registered Voters: ",556,,,,"Registered Voters: ",552,,,,"Registered Voters: ",407,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,157,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,171,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,99
"WEAH, George Manneh (CDC) ",,,,279,"WEAH, George Manneh (CDC) ",,,,251,"WEAH, George Manneh (CDC) ",,,,193
,"Valid Votes: ",,,436,,"Valid Votes: ",,,422,,"Valid Votes: ",,,292
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,16
,"Total Votes: ",,,440,,"Total Votes: ",,,426,,"Total Votes: ",,,308
"Precinct: 30126 ","Polling Place: ",2,,,"Precinct: 30126 ","Polling Place: ",3,,,"Precinct: 30127 ","Polling Place: ",1,,
"Samuel T. Kun Memorial Sch, Logan Tow n ",,,,,"Samuel T. Kun Memorial Sch, Logan Tow n ",,,,,"Samuel T. Kun Memorial Sch, Logan Tow n",,,,
"Registered Voters: ",409,,,,"Registered Voters: ",426,,,,"Registered Voters: ",434,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,102,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,107,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,0
"WEAH, George Manneh (CDC) ",,,,211,"WEAH, George Manneh (CDC) ",,,,205,"WEAH, George Manneh (CDC) ",,,,0
,"Valid Votes: ",,,313,,"Valid Votes: ",,,312,,"Valid Votes: ",,,0
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,13,,"Invalid Votes: ",,,0
,"Total Votes: ",,,316,,"Total Votes: ",,,325,,"Total Votes: ",,,0
"Precinct: 30127 ","Polling Place: ",2,,,"Precinct: 30127 ","Polling Place: ",3,,,"Precinct: 30128 ","Polling Place: ",1,,
"Samuel T. Kun Memorial Sch, Logan Tow n ",,,,,"Samuel T. Kun Memorial Sch, Logan Tow n ",,,,,"Donald M Karns Wesleyan, Logan Tow n",,,,
"Registered Voters: ",436,,,,"Registered Voters: ",444,,,,"Registered Voters: ",536,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,97,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,106,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,171
"WEAH, George Manneh (CDC) ",,,,237,"WEAH, George Manneh (CDC) ",,,,236,"WEAH, George Manneh (CDC) ",,,,248
,"Valid Votes: ",,,334,,"Valid Votes: ",,,342,,"Valid Votes: ",,,419
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,4
,"Total Votes: ",,,335,,"Total Votes: ",,,347,,"Total Votes: ",,,423
"Precinct: 30128 ","Polling Place: ",2,,,"Precinct: 30128 ","Polling Place: ",3,,,"Precinct: 30129 ","Polling Place: ",1,,
"Donald M Karns Wesleyan, Logan Tow n ",,,,,"Donald M Karns Wesleyan, Logan Tow n ",,,,,"Boatsw in Jr High Sch, Jamiaica Rd. Comm",,,,
"Registered Voters: ",545,,,,"Registered Voters: ",551,,,,"Registered Voters: ",479,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,155,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,154,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,162
"WEAH, George Manneh (CDC) ",,,,290,"WEAH, George Manneh (CDC) ",,,,275,"WEAH, George Manneh (CDC) ",,,,194
,"Valid Votes: ",,,445,,"Valid Votes: ",,,429,,"Valid Votes: ",,,356
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,9
,"Total Votes: ",,,448,,"Total Votes: ",,,433,,"Total Votes: ",,,365
"Precinct: 30129 ","Polling Place: ",2,,,"Precinct: 30129 ","Polling Place: ",3,,,"Precinct: 30129 ","Polling Place: ",4,,
"Boatsw in Jr High Sch, Jamiaica Rd. Comm ",,,,,"Boatsw in Jr High Sch, Jamiaica Rd. Comm ",,,,,"Boatsw in Jr High Sch, Jamiaica Rd. Comm",,,,
"Registered Voters: ",490,,,,"Registered Voters: ",497,,,,"Registered Voters: ",499,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,163,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,164,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,148
"WEAH, George Manneh (CDC) ",,,,181,"WEAH, George Manneh (CDC) ",,,,200,"WEAH, George Manneh (CDC) ",,,,197
,"Valid Votes: ",,,344,,"Valid Votes: ",,,364,,"Valid Votes: ",,,345
,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,2,,"Invalid Votes: ",,,4
,"Total Votes: ",,,346,,"Total Votes: ",,,366,,"Total Votes: ",,,349
"Precinct: 30129 ","Polling Place: ",5,,,"Precinct: 30130 ","Polling Place: ",1,,,"Precinct: 30130 ","Polling Place: ",2,,
"Boatsw in Jr High Sch, Jamiaica Rd. Comm ",,,,,"Trumpet Of Faith Baptist School, Jamiaica Rd. Comm ",,,,,"Trumpet Of Faith Baptist School, Jamiaica Rd. Comm",,,,
"Registered Voters: ",458,,,,"Registered Voters: ",487,,,,"Registered Voters: ",454,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,145,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,146,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,139
"WEAH, George Manneh (CDC) ",,,,189,"WEAH, George Manneh (CDC) ",,,,208,"WEAH, George Manneh (CDC) ",,,,194
,"Valid Votes: ",,,334,,"Valid Votes: ",,,354,,"Valid Votes: ",,,333
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,12,,"Invalid Votes: ",,,5
,"Total Votes: ",,,335,,"Total Votes: ",,,366,,"Total Votes: ",,,338
"Precinct: 30130 ","Polling Place: ",3,,,"Precinct: 30131 ","Polling Place: ",1,,,"Precinct: 30131 ","Polling Place: ",2,,
"Trumpet Of Faith Baptist School, Jamiaica Rd. Comm ",,,,,"Isaac G Macauly School, Jamiaica Rd. Comm ",,,,,"Isaac G Macauly School, Jamiaica Rd. Comm",,,,
"Registered Voters: ",465,,,,"Registered Voters: ",500,,,,"Registered Voters: ",522,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,145,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,157,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,157
"WEAH, George Manneh (CDC) ",,,,205,"WEAH, George Manneh (CDC) ",,,,220,"WEAH, George Manneh (CDC) ",,,,225
,"Valid Votes: ",,,350,,"Valid Votes: ",,,377,,"Valid Votes: ",,,382
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,16
,"Total Votes: ",,,356,,"Total Votes: ",,,384,,"Total Votes: ",,,398
"Precinct: 30131 ","Polling Place: ",3,,,"Precinct: 30133 ","Polling Place: ",1,,,"Precinct: 30133 ","Polling Place: ",2,,
"Isaac G Macauly School, Jamiaica Rd. Comm ",,,,,"Mac Foundation School, Cow  Factory ",,,,,"Mac Foundation School, Cow  Factory",,,,
"Registered Voters: ",492,,,,"Registered Voters: ",520,,,,"Registered Voters: ",553,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,164,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,126,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,127
"WEAH, George Manneh (CDC) ",,,,230,"WEAH, George Manneh (CDC) ",,,,242,"WEAH, George Manneh (CDC) ",,,,309
,"Valid Votes: ",,,394,,"Valid Votes: ",,,368,,"Valid Votes: ",,,436
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,7
,"Total Votes: ",,,397,,"Total Votes: ",,,373,,"Total Votes: ",,,443
"Precinct: 30133 ","Polling Place: ",3,,,"Precinct: 30134 ","Polling Place: ",1,,,"Precinct: 30134 ","Polling Place: ",2,,
"Mac Foundation School, Cow  Factory ",,,,,"Skd Comm Elem Jr School, Skd Community ",,,,,"Skd Comm Elem Jr School, Skd Community",,,,
"Registered Voters: ",535,,,,"Registered Voters: ",490,,,,"Registered Voters: ",485,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,114,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,93,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,108
"WEAH, George Manneh (CDC) ",,,,273,"WEAH, George Manneh (CDC) ",,,,252,"WEAH, George Manneh (CDC) ",,,,212
,"Valid Votes: ",,,387,,"Valid Votes: ",,,345,,"Valid Votes: ",,,320
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,8
,"Total Votes: ",,,395,,"Total Votes: ",,,353,,"Total Votes: ",,,328
"Precinct: 30134 ","Polling Place: ",3,,,"Precinct: 30134 ","Polling Place: ",4,,,"Precinct: 30135 ","Polling Place: ",1,,
"Skd Comm Elem Jr School, Skd Community ",,,,,"Skd Comm Elem Jr School, Skd Community ",,,,,"Skd Comm Elem Jr School, Skd Community",,,,
"Registered Voters: ",458,,,,"Registered Voters: ",448,,,,"Registered Voters: ",447,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,81,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,90,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,100
"WEAH, George Manneh (CDC) ",,,,244,"WEAH, George Manneh (CDC) ",,,,232,"WEAH, George Manneh (CDC) ",,,,220
,"Valid Votes: ",,,325,,"Valid Votes: ",,,322,,"Valid Votes: ",,,320
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,0,,"Invalid Votes: ",,,6
,"Total Votes: ",,,332,,"Total Votes: ",,,322,,"Total Votes: ",,,326
"Precinct: 30135 ","Polling Place: ",2,,,"Precinct: 30135 ","Polling Place: ",3,,,"Precinct: 30135 ","Polling Place: ",4,,
"Skd Comm Elem Jr School, Skd Community ",,,,,"Skd Comm Elem Jr School, Skd Community ",,,,,"Skd Comm Elem Jr School, Skd Community",,,,
"Registered Voters: ",461,,,,"Registered Voters: ",471,,,,"Registered Voters: ",491,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,71,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,79,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,95
"WEAH, George Manneh (CDC) ",,,,241,"WEAH, George Manneh (CDC) ",,,,253,"WEAH, George Manneh (CDC) ",,,,249
,"Valid Votes: ",,,312,,"Valid Votes: ",,,332,,"Valid Votes: ",,,344
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,10,,"Invalid Votes: ",,,10
,"Total Votes: ",,,319,,"Total Votes: ",,,342,,"Total Votes: ",,,354
"Precinct: 30136 ","Polling Place: ",1,,,"Precinct: 30136 ","Polling Place: ",2,,,"Precinct: 30136 ","Polling Place: ",3,,
"Lpmc Warehouse, Logan Tow n ",,,,,"Lpmc Warehouse, Logan Tow n ",,,,,"Lpmc Warehouse, Logan Tow n",,,,
"Registered Voters: ",510,,,,"Registered Voters: ",497,,,,"Registered Voters: ",502,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,124,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,108,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,112
"WEAH, George Manneh (CDC) ",,,,228,"WEAH, George Manneh (CDC) ",,,,242,"WEAH, George Manneh (CDC) ",,,,214
,"Valid Votes: ",,,352,,"Valid Votes: ",,,350,,"Valid Votes: ",,,326
,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,5
,"Total Votes: ",,,359,,"Total Votes: ",,,356,,"Total Votes: ",,,331
"Precinct: 30136 ","Polling Place: ",4,,,"Precinct: 30136 ","Polling Place: ",5,,,"Precinct: 30137 ","Polling Place: ",1,,
"Lpmc Warehouse, Logan Tow n ",,,,,"Lpmc Warehouse, Logan Tow n ",,,,,"Lpmc Warehouse, Logan Tow n",,,,
"Registered Voters: ",473,,,,"Registered Voters: ",492,,,,"Registered Voters: ",497,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,94,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,100,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,107
"WEAH, George Manneh (CDC) ",,,,213,"WEAH, George Manneh (CDC) ",,,,229,"WEAH, George Manneh (CDC) ",,,,221
,"Valid Votes: ",,,307,,"Valid Votes: ",,,329,,"Valid Votes: ",,,328
,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,7,,"Invalid Votes: ",,,14
,"Total Votes: ",,,316,,"Total Votes: ",,,336,,"Total Votes: ",,,342
"Precinct: 30137 ","Polling Place: ",2,,,"Precinct: 30137 ","Polling Place: ",3,,,"Precinct: 30137 ","Polling Place: ",4,,
"Lpmc Warehouse, Logan Tow n ",,,,,"Lpmc Warehouse, Logan Tow n ",,,,,"Lpmc Warehouse, Logan Tow n",,,,
"Registered Voters: ",485,,,,"Registered Voters: ",467,,,,"Registered Voters: ",499,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,98,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,95,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,115
"WEAH, George Manneh (CDC) ",,,,213,"WEAH, George Manneh (CDC) ",,,,204,"WEAH, George Manneh (CDC) ",,,,202
,"Valid Votes: ",,,311,,"Valid Votes: ",,,299,,"Valid Votes: ",,,317
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,15,,"Invalid Votes: ",,,11
,"Total Votes: ",,,316,,"Total Votes: ",,,314,,"Total Votes: ",,,328
"Precinct: 30137 ","Polling Place: ",5,,,"Precinct: 30139 ","Polling Place: ",1,,,"Precinct: 30139 ","Polling Place: ",2,,
"Lpmc Warehouse, Logan Tow n ",,,,,"Fanima Islamic School, Clara Tow n ",,,,,"Fanima Islamic School, Clara Tow n",,,,
"Registered Voters: ",479,,,,"Registered Voters: ",565,,,,"Registered Voters: ",522,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,93,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,160,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,167
"WEAH, George Manneh (CDC) ",,,,215,"WEAH, George Manneh (CDC) ",,,,252,"WEAH, George Manneh (CDC) ",,,,223
,"Valid Votes: ",,,308,,"Valid Votes: ",,,412,,"Valid Votes: ",,,390
,"Invalid Votes: ",,,11,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,2
,"Total Votes: ",,,319,,"Total Votes: ",,,417,,"Total Votes: ",,,392
"Precinct: 30139 ","Polling Place: ",3,,,"Precinct: 30139 ","Polling Place: ",4,,,"Precinct: 30139 ","Polling Place: ",5,,
"Fanima Islamic School, Clara Tow n ",,,,,"Fanima Islamic School, Clara Tow n ",,,,,"Fanima Islamic School, Clara Tow n",,,,
"Registered Voters: ",563,,,,"Registered Voters: ",553,,,,"Registered Voters: ",553,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,166,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,163,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,162
"WEAH, George Manneh (CDC) ",,,,233,"WEAH, George Manneh (CDC) ",,,,236,"WEAH, George Manneh (CDC) ",,,,213
,"Valid Votes: ",,,399,,"Valid Votes: ",,,399,,"Valid Votes: ",,,375
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,6
,"Total Votes: ",,,403,,"Total Votes: ",,,404,,"Total Votes: ",,,381
"Precinct: 30140 ","Polling Place: ",1,,,"Precinct: 30140 ","Polling Place: ",2,,,"Precinct: 30140 ","Polling Place: ",3,,
"James Doe Young Sn. Sch, Clara Tow n ",,,,,"James Doe Young Sn. Sch, Clara Tow n ",,,,,"James Doe Young Sn. Sch, Clara Tow n",,,,
"Registered Voters: ",536,,,,"Registered Voters: ",504,,,,"Registered Voters: ",521,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,143,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,146,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,125
"WEAH, George Manneh (CDC) ",,,,268,"WEAH, George Manneh (CDC) ",,,,237,"WEAH, George Manneh (CDC) ",,,,269
,"Valid Votes: ",,,411,,"Valid Votes: ",,,383,,"Valid Votes: ",,,394
,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,0
,"Total Votes: ",,,414,,"Total Votes: ",,,387,,"Total Votes: ",,,394
"Precinct: 30140 ","Polling Place: ",4,,,"Precinct: 30142 ","Polling Place: ",1,,,"Precinct: 30142 ","Polling Place: ",2,,
"James Doe Young Sn. Sch, Clara Tow n ",,,,,"Clara Tow n Central Jr High Sch, Clara Tow n ",,,,,"Clara Tow n Central Jr High Sch, Clara Tow n",,,,
"Registered Voters: ",510,,,,"Registered Voters: ",558,,,,"Registered Voters: ",585,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,123,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,146,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,176
"WEAH, George Manneh (CDC) ",,,,274,"WEAH, George Manneh (CDC) ",,,,261,"WEAH, George Manneh (CDC) ",,,,266
,"Valid Votes: ",,,397,,"Valid Votes: ",,,407,,"Valid Votes: ",,,442
,"Invalid Votes: ",,,8,,"Invalid Votes: ",,,9,,"Invalid Votes: ",,,1
,"Total Votes: ",,,405,,"Total Votes: ",,,416,,"Total Votes: ",,,443
"Precinct: 30142 ","Polling Place: ",3,,,"Precinct: 30142 ","Polling Place: ",4,,,"Precinct: 30142 ","Polling Place: ",5,,
"Clara Tow n Central Jr High Sch, Clara Tow n ",,,,,"Clara Tow n Central Jr High Sch, Clara Tow n ",,,,,"Clara Tow n Central Jr High Sch, Clara Tow n",,,,
"Registered Voters: ",590,,,,"Registered Voters: ",569,,,,"Registered Voters: ",597,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,158,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,175,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,153
"WEAH, George Manneh (CDC) ",,,,254,"WEAH, George Manneh (CDC) ",,,,257,"WEAH, George Manneh (CDC) ",,,,271
,"Valid Votes: ",,,412,,"Valid Votes: ",,,432,,"Valid Votes: ",,,424
,"Invalid Votes: ",,,6,,"Invalid Votes: ",,,3,,"Invalid Votes: ",,,2
,"Total Votes: ",,,418,,"Total Votes: ",,,435,,"Total Votes: ",,,426
"Precinct: 30143 ","Polling Place: ",1,,,"Precinct: 30143 ","Polling Place: ",2,,,"Precinct: 30143 ","Polling Place: ",3,,
"Tow n Hall, Clara Tow n ",,,,,"Tow n Hall, Clara Tow n ",,,,,"Tow n Hall, Clara Tow n",,,,
"Registered Voters: ",452,,,,"Registered Voters: ",477,,,,"Registered Voters: ",450,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,134,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,130,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,123
"WEAH, George Manneh (CDC) ",,,,205,"WEAH, George Manneh (CDC) ",,,,219,"WEAH, George Manneh (CDC) ",,,,209
,"Valid Votes: ",,,339,,"Valid Votes: ",,,349,,"Valid Votes: ",,,332
,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,2
,"Total Votes: ",,,343,,"Total Votes: ",,,353,,"Total Votes: ",,,334
"Precinct: 30143 ","Polling Place: ",4,,,"Precinct: 30144 ","Polling Place: ",1,,,"Precinct: 30144 ","Polling Place: ",2,,
"Tow n Hall, Clara Tow n ",,,,,"Tow n Hall, Clara Tow n ",,,,,"Tow n Hall, Clara Tow n",,,,
"Registered Voters: ",430,,,,"Registered Voters: ",559,,,,"Registered Voters: ",587,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,119,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,145,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,176
"WEAH, George Manneh (CDC) ",,,,190,"WEAH, George Manneh (CDC) ",,,,266,"WEAH, George Manneh (CDC) ",,,,290
,"Valid Votes: ",,,309,,"Valid Votes: ",,,411,,"Valid Votes: ",,,466
,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,3
,"Total Votes: ",,,310,,"Total Votes: ",,,415,,"Total Votes: ",,,469
"Precinct: 30144 ","Polling Place: ",3,,,"Precinct: 30145 ","Polling Place: ",1,,,"Precinct: 30145 ","Polling Place: ",2,,
"Tow n Hall, Clara Tow n ",,,,,"Marvi Sonu Ele/jr High School, Clara Tow n ",,,,,"Marvi Sonu Ele/jr High School, Clara Tow n",,,,
"Registered Voters: ",554,,,,"Registered Voters: ",456,,,,"Registered Voters: ",483,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,169,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,116,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,121
"WEAH, George Manneh (CDC) ",,,,262,"WEAH, George Manneh (CDC) ",,,,244,"WEAH, George Manneh (CDC) ",,,,241
,"Valid Votes: ",,,431,,"Valid Votes: ",,,360,,"Valid Votes: ",,,362
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,4,,"Invalid Votes: ",,,7
,"Total Votes: ",,,436,,"Total Votes: ",,,364,,"Total Votes: ",,,369
"Precinct: 30145 ","Polling Place: ",3,,,"Precinct: 30146 ","Polling Place: ",1,,,"Precinct: 30146 ","Polling Place: ",2,,
"Marvi Sonu Ele/jr High School, Clara Tow n ",,,,,"Savaco Community Sch, Vai Tow n ",,,,,"Savaco Community Sch, Vai Tow n",,,,
"Registered Voters: ",482,,,,"Registered Voters: ",527,,,,"Registered Voters: ",526,,,
"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff ",,,,,"President/Vice-President Runoff",,,,
"Candidate ",,,,"Votes ","Candidate ",,,,"Votes ","Candidate ",,,,"Votes"
"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,130,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,151,"JOHNSON-SIRLEAF, Ellen  (UP) ",,,,152
"WEAH, George Manneh (CDC) ",,,,257,"WEAH, George Manneh (CDC) ",,,,209,"WEAH, George Manneh (CDC) ",,,,207
,"Valid Votes: ",,,387,,"Valid Votes: ",,,360,,"Valid Votes: ",,,359
,"Invalid Votes: ",,,5,,"Invalid Votes: ",,,1,,"Invalid Votes: ",,,1
