"Voting ",,,,,"General "
9158,"A.C.F.I. School Building ",,"Gonnigar ",2307,5
9159,"Four Houses Community School Building ",,"Four Houses Community ",423,1
9174,"Sahnwein Town School Building ",,"Sahnwein ",465,1
9176,"Central Paynesberry School Building ",,"Paynesberry ",156,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND BASSA ",,"ELECTORAL DISTRICT : 4 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
9015,"Barseegiah School Building ",,"Barseegiah ",657,2
9016,"Manawon Town Palava Hut ",,"Manawon ",635,2
9017,"Isaac Anjuah Town Palava Hut ",,"Isaac Anjuah ",601,2
9018,"Timbo Town Palava Hut ",,"Timbo Giah ",477,1
9019,"Kporkon Town Palava Hut ",,"Kporkon ",879,2
9020,"Borbor Town Palava Hut ",,"Borbor ",526,2
9021,"Frank Diggs Town Palava Hut ",,"Frank Diggs ",764,2
9026,"Sam Town Palava Hut ",,"Sam ",561,2
9027,"Boe Juah Town Palava Hut ",,"Boe Juah Town ",233,1
9028,"Zuagar Town Palava Hut ",,"Zuagar ",516,2
9029,"Gardee Town Palava Hut ",,"Gardee ",1337,3
9030,"Civil Compound # 3 Administrative Building ",,"Civil Compound ",2547,6
9037,"Desoe Town Palava Hut ",,"Desoe ",712,2
9038,"Taylue Town Palava Hut ",,"Taylue ",591,2
9039,"Kennedy Town Palava Hut ",,"Kennedy ",1075,3
9049,"Charles Johnson Town Palava Hut ",,"Charles Johnson ",875,2
9050,"Sawthrow Town Palava Hut ",,"Sawthrow ",473,1
9051,"Gaypuhole Town Palava Hut ",,"Gaypuhole ",487,1
9084,"Sue Town Palava Hut ",,"Sue ",914,2
9085,"Klehn Town Palava Hut ",,"Klehn ",793,2
9086,"Voe Town Palava Hut ",,"Voe ",627,2
9094,"Farnk Diggs Town Palava Hut ",,"Farnk Diggs ",949,2
9095,"Pay-u-way Town Palava Hut ",,"Pay-u-way ",149,1
9096,"Saynwrane Town Palava Hut ",,"Saynwrane ",258,1
9097,"James Zayway Town Palava Hut ",,"James Zayway ",569,2
9110,"Bear-Bear Camp Palava Hut ",,"Bear -Bear Camp ",922,2
9111,"Boeglay Town Palava Hut ",,"Boeglay ",550,2
9112,"Estate 2 Bongolo Palava Hut ",,"Estate 2 Bongolo ",506,2
9113,"Gorzohn Old Camp Palava Hut ",,"Gorzohn Old Camp ",1695,4
9114,"Dirt Hole Camp Palava Hut ",,"Dirt Hole Camp ",1207,3
9115,"LAC-Head Office Palava Hut ",,"LAC ",2784,6
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND BASSA ",,"ELECTORAL DISTRICT : 5 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
9007,"LIBINC Old Camp Palava Hut ",,"LIBINC Old Camp ",1260,3
9008,"Debbah Town Palava Hut ",,"Debbah ",682,2
9009,"Behn Town Palava Hut ",,"Behn ",1702,4
9013,"Zondo Town School Building ",,"Zondo ",1134,3
9014,"Zardo-Gbone Town Palava Hut ",,"Zardo-Gbone ",925,2
9022,"Trodain Town Palava Hut ",,"Trodain ",349,1
9023,"Korkor David Town Palava Hut ",,"Korkor David ",692,2
9024,"Seeko Camp Palava Hut ",,"Seeko Camp ",432,1
9033,"Bannie Town Palava Hut ",,"Bannie Glaygbo ",292,1
9034,"Boe-Wee Palava Hut ",,"Boe-Wee ",337,1
9044,"Sendeh-Pie-Kon Town Palava Hut ",,"Sendeh-Pie-Kon ",283,1
9045,"Gio Town School Buliding ",,"Gio ",1563,4
9046,"Geebeor Town Palava Hut ",,"Geebeor ",867,2
9047,"Gboinyee Tarr Town Palava Hut ",,"Gboinyee ",572,2
9048,"Paye Town Palava Hut ",,"Paye ",909,2
9052,"Benzohn Town Palava Hut ",,"Benzohn ",857,2
9076,"Mentee Town Palava Hut ",,"Mentee ",308,1
9077,"Gbeeyah Town Palava Hut ",,"Gbeeyah ",907,2
9098,"Bor's Town Palava Hut ",,"Bor's ",939,2
9099,"Sekepo/Kru Town Palava Hut ",,"Sekepo /Kru ",743,2
9105,"Nyornbern Town Palava Hut ",,"Nyornbern ",1233,3
9106,"Gargar Town Palava Hut ",,"Gargar ",225,1
9107,"Food Crops Camp Palava Hut ",,"Food Crops Camp ",852,2
9108,"Feetuah Town Palava Hut ",,"Feetuah ",715,2
9109,"Dayougar Town Palava Hut ",,"Boe Town/Dayougar ",374,1
9120,"Compound # 4 Palava Hut ",,"Compound ",683,2
9121,"Qwrakpo Palava Hut ",,"Qwrakpo ",637,2
9141,"Daybay Town Palava Hut ",,"Daybay ",863,2
9142,"Kay Kay Town Palava Hut ",,"Kay Kay ",338,1
9151,"Big Joe Town Administrative Building ",,"Big Joe ",636,2
9154,"Diawhen Town Palava Hut ",,"Diawhen ",474,1
9156,"Old Lady Market Palava Hut ",,"Old Lady Market ",606,2
9157,"Yarweah Village Palava Hut ",,"Yarwea Village ",432,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND CAPE MOUNT ",,"ELECTORAL DISTRICT : 1 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
12002,"Largor Public School ",,"Largor ",674,2
12005,"Fornor Town Hall ",,"Fornor ",503,2
12006,"Kawelahun Town Hall ",,"Kawelahun ",788,2
12007,"Kongo Town Hall ",,"Kongo ",1408,3
12013,"Keita Town Hall ",,"Keita ",273,1
12014,"Behgondor Public School ",,"Behgondor ",835,2
12015,"Gold Camp Public School ",,"Gold Camp (A) ",1061,3
12016,"Bamballa Public School ",,"Bamballa Town (A) ",2171,5
12017,"Laah Town Hall ",,"Laah Town ",552,2
12020,"Jenne Mana Public School ",,"Jenne Mana ",540,2
12021,"Small Benduma Town Hall ",,"Small Benduma ",460,1
12022,"Butter Hill Public School ",,"Butter Hill ",576,2
12023,"Bombor Old Town Hall ",,"Bombor Old Town ",577,2
12035,"Weajue Public School ",,"Weajue ",1491,3
12036,"Managorduah Town Hall ",,"Managorduah(A) ",571,2
12037,"Varguaye Public School ",,"Varguaye ",425,1
12042,"Camp Israel School Building ",,"Camp Israel ",271,1
12043,"Fulah Camp Town Hall ",,"Fulah Camp ",293,1
12044,"Marbon Wanga Town Hall ",,"Marbon Wanga ",345,1
12045,"Mecca Public School ",,"Mecca ",726,2
12051,"Varkianway I Town Hall ",,"Varkianway I ",797,2
12055,"Tahn Town Public School ",,"Tahn Town ",1088,3
12056,"Lofa Bridge Public School ",,"Lofa Bridge ",1707,4
12057,"Marbon Dorley Town Public School ",,"Marbon Dorley Town ",318,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND CAPE MOUNT ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
12012,"Kpeneji Town Hall ",,"Kpeneji I ",976,2
12018,"King Jor Town Hall ",,"King Jor ",549,2
12019,"Jenne Brown Public School ",,"Jenne Brown (A) ",1161,3
12025,"Vonzula Public School ",,"Vonzula ",1279,3
12026,"Bendu Public School ",,"Bendu (A) ",688,2
12027,"Daniel Town Hall ",,"Daniel ",1189,3
12029,"Sinje Public School ",,"Sinje (A) ",1914,4
12030,"Jundu Town Hall ",,"Jundu ",894,2
12031,"Mecca Community School ",,"Mecca ",763,2
12032,"Zaway Public School ",,"Zaway ",283,1
12038,"Mandoe Palava Hut ",,"Mandoe ",275,1
12039,"Konja Town Hall ",,"Konja ",1804,4
12040,"Mandina Public School ",,"Mandina ",2163,5
12041,"Gbah Foboi Public School ",,"Gbah Foboi ",1915,4
12053,"Sembehum Public School ",,"Sembehum ",341,1
12054,"Latia Public School ",,"Latia ",489,1
12059,"Kanga Public School ",,"Kanga Town ",928,2
12060,"Bomboja Public School ",,"Bomboja Town ",725,2
12061,"Senii Town Hall ",,"Senii Town ",612,2
12063,"Robertsport High School ",,"Robertsport ",1257,3
12064,"Islamic Model ",,"Grassfield, Robertsport ",1201,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND CAPE MOUNT ",,"ELECTORAL DISTRICT : 3 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
12001,"Goe Town Hall ",,"Goe ",731,2
12003,"Damballa Public School ",,"Damballa ",1939,4
12004,"Bendaja Public School ",,"Bendaja (B) ",1196,3
12008,"Tiene Public School ",,"Tiene ",2833,6
12009,"Diah Town Hall ",,"Diah ",1365,3
12010,"Tahn Mafa Town Hall ",,"Tahn Mafa ",970,2
12011,"Boloma Gateweh Town Hall ",,"Boloma (Gateweh) ",568,2
12024,"Messima Town Hall ",,"Messima ",151,1
12028,"Zuanni Town Hall ",,"Zuanni-1 ",1161,3
12033,"Kpallan Town Hall ",,"Kpallan ",240,1
12034,"Gondama Town Hall ",,"Gondama ",1327,3
12046,"Jenne Wonde Public School ",,"Jenne Wonde ",1809,4
12047,"Fahnja Town Hall ",,"Fahnja ",711,2
12048,"Bo Waterside Public School ",,"Bo Waterside ",2452,5
12049,"Mambo Public School ",,"Mambo Town ",1088,3
12050,"Guassay Public School ",,"Gbanga ",1465,3
12052,"Maveima Public School ",,"Maveima ",776,2
12058,"Weima Town Hall ",,"Weima Town ",468,1
12062,"Tallah Administrative Building ",,"Tallah ",298,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND GEDEH ","ELECTORAL DISTRICT : 1 ",,,"Polling "
"Code ","Locality ","Address ",,"Voters ","Places"
15056,"Len/Sharon Liberia Community School ","Zanboe Quarter ",,2058,5
15057,"N. Nixson Garlon Evangelical High School ","Webbo Quarter ",,2309,5
15058,"Zwedru City Hall ","City Hall ",,2397,5
15059,"Suah Memorial Institute ","Suah ",,2056,5
15060,"Gbagbaaville Elemetary & Junior High School ","Gbagbaville ",,1200,3
15061,"Todeyville Calvary Temple A.G. School ","Todeyville Community ",,1592,4
15062,"LOIC Youth Building ","LOIC Commmunty ",,2831,6
15063,"Zwedru Multilateral High School ","Kudah Bye Pass ",,2206,5
15064,"Women/Children Rehabilitation Resource Cen Colemen Airfield ",,,1404,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND GEDEH ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
15002,"Sayou-Woe Palava Hut ",,"Sayou-Woe ",735,2
15003,"Buway Palava Hut ",,"Buway ",243,1
15005,"Billibo Public School ",,"Billibo ",433,1
15008,"Boundary Town Public School ",,"Boundary Town Two ",658,2
15009,"Chattan Elem. School ",,"Clotetee ",683,2
15012,"Nyongbah Public School ",,"Nyongbah ",294,1
15014,"Flah Palava Hut ",,"Flah ",181,1
15016,"Pellizon Elem. School ",,"Pellizon ",339,1
15018,"Geebio Public School ",,"Geebio ",554,2
15021,"Glay Palava Hut ",,"Glay ",513,2
15022,"Glaplay Town Public School ",,"Gleplay ",380,1
15023,"Beh Town Elem. School ",,"Beh ",145,1
15025,"Jarwadee Public School ",,"Jarwadee ",999,2
15028,"Karlorwieh Public School ",,"Karlorwieh ",1348,3
15029,"Gardueh Town Public School ",,"Gardueh ",330,1
15031,"Peah Elem. School ",,"Peah ",165,1
15032,"Pennoken Putu Central High ",,"Pennoken ",975,2
15033,"Petroken Elem. School ",,"Petroken ",1552,4
15038,"Kumah Town Public School ",,"Kumah ",259,1
15039,"Tarloken Elem. & Jr. High School ",,"Tarloken ",356,1
15042,"Toffoi Town Public School ",,"Toffoi ",925,2
15043,"Togbayee Elem. School ",,"Togbayee ",472,1
15049,"Belleh Yallah Palava Hut ",,"Belleh Yallah ",1674,4
15050,"Wrabo Palava Hut ",,"Wrabo ",107,1
15051,"Konobo Central High School ",,"Ziah ",411,1
15052,"Ziah Town Hall ",,"Ziah ",1410,3
15053,"Wulu Elem. School ",,"Wulu ",269,1
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND GEDEH ",,"ELECTORAL DISTRICT : 3 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
15001,"Bargblor Public School ",,"Bargblor ",347,1
15004,"B'hai Tarway Elem. School ",,"B'hai Tarway ",703,2
15006,"Bodee Public School ",,"Bodee ",198,1
15007,"Boe-Geewon Public School ",,"Boe-Geewon ",527,2
15010,"Chayee Public School ",,"Chayee ",417,1
15011,"Dayblay Elem. School ",,"Dayblay ",315,1
15013,"Duogee Marbo Elem. School ",,"Duogee ",771,2
15015,"Gaye Town Elem. School ",,"Gaye ",582,2
15017,"Gbarken Elem. School ",,"Gbarken ",546,2
15019,"Tuzon Public School ",,"Tuzon ",625,2
15020,"Zai Public School ",,"Zai ",2597,6
15024,"Pohan Elem. School ",,"Pohan ",903,2
15026,"Jarwodee Public School ",,"Jarwodee ",480,1
15027,"Jozon Elem. School ",,"Jozon ",172,1
15030,"B'hai Jorzon Public School ",,"B'hai Jorzon ",633,2
15034,"Polar Public School ",,"Polar ",782,2
15035,"Pouh Elem. & Jr High School ",,"Pouh ",830,2
15036,"Janzon Public School ",,"Janzon ",1502,4
15037,"Sennehwen Elem. School ",,"Sennehwen ",629,2
15040,"Tian Elem. School ",,"Tian ",511,2
15041,"Toe Memorial Institute ",,"Toe ",1689,4
15044,"Tojallah Elem. School ",,"Tojallah ",272,1
15045,"Gboleken Pub. School ",,"Gboleken ",694,2
15046,"Garley Town Pub. Sch. ",,"Garley ",453,1
15047,"Gwein Town Public School ",,"Gwein ",262,1
15048,"Queboe Public School ",,"Queboe ",367,1
15054,"Lutheran Elem. School ",,"Zleh ",636,2
15055,"Borkay High school ",,"Zleh ",1392,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND KRU ",,"ELECTORAL DISTRICT : 1 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
18002,"F.A. Price U.M. Church ",,"Behwan City ",1480,3
18005,"Weteken Public School ",,"Weteken ",1257,3
18008,"Newaken Public School ",,"Newaken ",1375,3
18012,"P.G Wolo High School ",,"Grandcess City ",2083,5
18013,"Robert Isaac U.M. Church ",,"Genoyah ",840,2
18018,"Juduken Public School ",,"Juduken (Weteken) ",491,1
18019,"St. Banabas Catholic Elem. & Jr. High ",,"Gbarken(Wedabo) ",907,2
18020,"Wedabo Beach Public School ",,"Wedabo Beach ",202,1
18021,"Degblahken Public School ",,"Degblahken ",577,2
18025,"Sobobo Public School ",,"Sobobo ",185,1
18026,"Gbatao Jr. High School ",,"Klofueh ",1234,3
18027,"Blebo Public School ",,"Blebo ",1016,3
18028,"A.E. Hall U.M. Church ",,"Garaway ",1122,3
18033,"Fortehkpoh Public School ",,"Fortehkpoh ",511,2
18037,"Fire Baptist Pentecostal Church ",,"Nemiah (Wilsonville) ",1317,3
18038,"Jlatwen Public School ",,"Jlatwen ",825,2
18039,"Denteken Town Hall ",,"Denteken ",1247,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :GRAND KRU ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
18001,"Jarblakpo Public School ",,"Jarblakpo ",405,1
18003,"Doeswen Public School ",,"Doeswen ",1440,3
18004,"Toe Jelleh Elem. School ",,"Jlateken ",776,2
18006,"Betu Public School ",,"Betu City ",409,1
18007,"S.S Chea Elem. School ",,"Allawala City ",1541,4
18009,"Fleneken Public School ",,"Fleneken ",527,2
18010,"Feloken Public School ",,"Henriesville City/Feloken ",772,2
18011,"Neroh Public School ",,"Neroh ",262,1
18014,"Chenwrinken Public School ",,"Chenwrinken ",697,2
18015,"Barfoewin Public School ",,"Barforwin ",875,2
18016,"Dio Public School ",,"Dio (Wappi City) ",549,2
18017,"Sass Town High School ",,"Felokree ",1054,3
18022,"Parluken Public School ",,"Parluken ",1757,4
18023,"Poe Public School ",,"Poe (Ducor City) ",274,1
18024,"Warkpo Public School ",,"Warkpo(Wasswa City) ",299,1
18029,"Boluwin Town Hall ",,"Boluwin ",709,2
18030,"Nrokwia Public School ",,"Nrokwia ",1032,3
18031,"Buah Jr. High School ",,"Geetugbaken Community / Gee City ",1235,3
18032,"Wropluken Public School ",,"Wropluken ",593,2
18034,"Niplaihkpo Public School ",,"Niplaihkpo ",272,1
18035,"Nifu Public School ",,"Nifu ",804,2
18036,"A A Hoff Elem. & Jr. High School ",,"Big Suehn ",560,2
18040,"Barclayville Central High School ",,"Barclayville City ",1978,4
"Voting ",,,,,"General "
"Precinct ","COUNTY :LOFA ",,"ELECTORAL DISTRICT : 1 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
21003,"Porluma Town Hall ",,"Porluma ",2548,6
21004,"Bandenin Melimu Town Hall ",,"Bandenin Melimu ",904,2
21005,"Forbayman Public School ",,"Forbayma ",1186,3
21012,"Borliloe Town Hall ",,"Borliloe ",1092,3
21020,"Fassapoe (Old) Town Hall ",,"Fassapoe ",576,2
21021,"Mbenduma Public School ",,"Mbenduma ",1455,3
21025,"Foya Market Hall ",,"Foya ",3087,7
21026,"Foya Town Hall ",,"Foya ",2951,6
21027,"Foya New Market ",,"Foya ",2286,5
21028,"Foyakama Public School ",,"Foyakama ",1724,4
21046,"Worsongar Public School ",,"Worsongar ",2925,6
21047,"Wahbengu Public School ",,"Wahbengu ",801,2
21066,"Solumba Public School ",,"Solumba (A) ",2086,5
21069,"Ndama Public School ",,"Ndama ",1976,4
21070,"Mendicorma Town Hall ",,"Mendicorma ",2887,6
21083,"Sengar Palava Hut ",,"Sengar ",1680,4
21115,"Yelayaloe Town Hall ",,"Yelayaloe ",838,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :LOFA ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
21029,"Foya Tengia Town Hall ",,"Foya Tengia ",2438,5
21035,"Kamatahun Public School ",,"Kamatahun ",2328,5
21036,"Fokolahun Public School ",,"Fokolahun ",1654,4
21043,"Kimbaloe Public School ",,"Kimbaloe ",1174,3
21048,"Folima Town Hall ",,"Folima ",2095,5
21049,"Kamalah Town Hall ",,"Kamalah ",1632,4
21051,"Langbemba Town Hall ",,"Langbemba ",1720,4
21052,"Kpagamai Town Hall ",,"Kpagamai ",595,2
21062,"Porlowu Public School ",,"Porlowu ",911,2
21063,"Masambolahun Public School ",,"Masambolahun ",2072,5
21064,"Lehun-Two Public School ",,"Lehun-Two ",751,2
21065,"Fangonda Public School ",,"Fangonda Town ",810,2
21074,"Kimbalahun Town Hall ",,"Kimbalahun ",586,2
21075,"Popalahun Public School ",,"Popalahun ",1884,4
21096,"Memolahun Public School ",,"Memolahun ",1415,3
21097,"Seema Public School ",,"Seema ",1392,3
21098,"Fulawahun Palava Hut ",,"Fulawahun Village ",2020,5
21099,"Jorpowahun Town Hall ",,"Jorpowahun ",1836,4
21100,"Vahun Town Hall ",,"Vahun ",2404,5
21113,"Yassadu Public School ",,"Yassadu ",1556,4
"Voting ",,,,,"General "
"Precinct ","COUNTY :LOFA ",,"ELECTORAL DISTRICT : 3 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
21013,"Lukasu Town Hall ",,"Lukasu ",1286,3
21014,"Bondowalahun Town Hall ",,"Bondowalahun # 1 ",792,2
21015,"Bowalahun Town Hall ",,"Boawohun ",999,2
21016,"Gilema Town Hall ",,"Gilema ",468,1
21019,"Balahun Public School ",,"Balahun (2) ",1156,3
21037,"Taninahun Public School ",,"Taninahun ",1203,3
21050,"Kpadehmai Town Hall ",,"Kpadehmai Town ",1108,3
21054,"Zeayorzu Public School ",,"Zeayorzu Town ",412,1
21055,"Kpakamai Public School ",,"Kpakamai ",521,2
21056,"Bolahun Public School ",,"Bolahun Town (A) ",1446,3
21057,"Sosomolahun Public School ",,"Sosomoilahun ",1201,3
21060,"Lawalazu Town Hall ",,"Lawalazu ",1160,3
21061,"Lawalazu Public School ",,"Lawalazu ",871,2
21067,"Mbabahun Public School ",,"Mbabahun ",923,2
21068,"Korworhun Public School ",,"Korworhun ",726,2
21071,"Nyandemoilahun Public School ",,"Nyandemoilahun ",1148,3
21072,"Pasolahun Town Hall ",,"Pasolahun ",478,1
21073,"Gondorlahun Public School ",,"Gondorlahun ",809,2
21078,"Savalahun Town Hall ",,"Savalahun ",1027,3
21079,"Kamatahum Public School ",,"Kamatahun ",1010,3
21084,"Kolahun Public School ",,"Kolahun ",2334,5
21085,"Kolahun Town Hall ",,"Kolahun ",2451,5
21086,"Somalahun Town Hall ",,"Somalahun ",1178,3
21093,"Tawalahun Town Hall ",,"Tawalahun Town ",985,2
21094,"Sammie Public School ",,"Sammie Ta ",701,2
21095,"Tobogizizu Public School ",,"Tobogizizu ",1387,3
21111,"Yaselahun Town Hall ",,"Yasselahun ",411,1
21112,"Gelema Town Hall ",,"Gelema ",614,2
21116,"Zawordamai Public School ",,"Zawordamai ",848,2
21117,"Johny's Town Public School ",,"Johnny's ",391,1
21135,"Ngorkorhun Public School ",,"Ngorkorhun ",1010,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :LOFA ",,"ELECTORAL DISTRICT : 4 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
21006,"Barkedu Public School ",,"Barkedu ",1495,4
21007,"Barkedu Town Hall ",,"Barkedu ",1534,4
21008,"Barziwen Public School ",,"Barziwen ",1080,3
21017,"Dayzabah Public School ",,"Dayzabah ",395,1
21018,"David Selma-ta Public School ",,"David Selma-ta ",991,2
21038,"Karzah Public School ",,"Karzah Town ",498,1
21039,"Wobeyammai Town Hall ",,"Wobeyammai ",307,1
21040,"Bazagizia, Public School ",,"Bazagizia ",936,2
21041,"Betejama Public School ",,"Betejama ",663,2
21044,"Konia Public School ",,"Konia ",2495,6
21045,"Luyeama Public School ",,"Luyeama ",755,2
21080,"Sarkonedu Public School ",,"Sarkonedu ",1287,3
21081,"Sarkonedu Public School ",,"Sarkonedu ",871,2
21082,"Kondadu Public School ",,"Kondadu ",1045,3
21088,"Samodu Public School ",,"Samodu ",884,2
21089,"Jarmulor Public School ",,"Jarmulor ",525,2
21101,"Vezala Public School ",,"Vezala ",1163,3
21102,"Korlela Public School ",,"Korlela ",747,2
21103,"Kanela Public School ",,"Kanela ",673,2
21104,"Tussu Public School ",,"Tussu ",768,2
21107,"Marverkonnedu Public School ",,"Marverkonnedu ",435,1
21108,"Gbegbedu Public School ",,"Gbegbedu ",1388,3
21109,"Kugbemai Public ",,"Kugbemai Town ",862,2
21121,"Blakpalasu Public School ",,"Balakpalasu ",842,2
21122,"John's Town Public School ",,"John's ",1026,3
21129,"Karsa Gas Station ",,"Karsa ",2348,5
21130,"Tenebu Town Hall ",,"Tennebu ",641,2
21131,"Voinjama F.P. Mission School ",,"Voinjama ",2082,5
21132,"LPMC Town Hall ",,"L.P.M.C Camp ",658,2
21133,"Selega Town Hall ",,"Selega ",465,1
21134,"Voinjama Market Hall ",,"Voinjama Market Community ",2522,6
21136,"Voinjama Catholic School ",,"Voinjama ",1364,3
21137,"Kintoma Town Hall ",,"Kintoma Town ",1926,4
21138,"Kuluka Town Hall ",,"Kulukar ",742,2
21139,"Korwolane Town Hall ",,"Ward Nine ",906,2
"Voting ",,,,,"General "
"Precinct ","COUNTY :LOFA ",,"ELECTORAL DISTRICT : 5 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
21001,"Balagwalazu Public School ",,"Balagwalazu ",432,1
21002,"Baloma Public School ",,"Baloma ",625,2
21009,"Bodah Town Hall ",,"Bodah ",383,1
21010,"Borkeza Public School ",,"Borkeza ",751,2
21011,"Borkeza Market Hall ",,"Borkeza ",1377,3
21022,"Fassawalazu Public School ",,"Fassawalazu ",473,1
21023,"Fissibu Town Hall ",,"Fiissebu ",1584,4
21024,"Fissibu Sumokota School Building ",,"Fiissebu ",710,2
21030,"Ganglota Public School ",,"Ganglota ",1030,3
21031,"Bayan Town Hall ",,"Beyan ",851,2
21032,"Kpayarkolleh Public School ",,"Jammy Kpayarkolleh Village ",892,2
21033,"Gorlu Public School ",,"Gorlu ",1629,4
21034,"Gbonyea Public School ",,"Gboyea ",669,2
21042,"Kilewu Public School ",,"Kilewu ",915,2
21053,"Kpaiyea Public School ",,"Kpaiyea ",1382,3
21058,"Kpassagizia Public School ",,"Kpassagizia ",918,2
21059,"Gbakoita Town Hall ",,"Gbakoita ",291,1
21076,"Salayea Public School ",,"Salayea ",2491,5
21077,"Tinsue Public School ",,"Tinsue ",454,1
21087,"SucromuPublic School ",,"Sucromu ",1116,3
21090,"Tailemai Public School ",,"Tailemai ",706,2
21091,"Gbanway Public School ",,"Gbanway ",556,2
21092,"Yarpuah Public School ",,"Yarpuah ",1108,3
21105,"Lobobah Town Hall ",,"Lobobah Town ",283,1
21106,"Warkesu Public School ",,"Warkesu ",626,2
21110,"Wuomai Public School ",,"Wuomai ",634,2
21114,"Yeala Public School ",,"Yeala ",1061,3
21118,"Zelemai Public School ",,"Zelemai ",1379,3
21119,"Wozi Public School ",,"Wozi ",297,1
21120,"Ziggida Public School ",,"Ziggida ",1157,3
21123,"Zolowu Town Hall ",,"Zolowu ",956,2
21124,"Zolowu Public School ",,"Zolowu ",1216,3
21125,"Zorzor Central High ",,"Zorzor ",961,2
21126,"Zorzor Central High ",,"Zorzor ",1029,3
21127,"Zorzor Luthren School ",,"Zorzor ",639,2
21128,"Zorzor Market Hall ",,"Zorzor ",1974,4
"Voting ",,,,,"General "
"Precinct ","COUNTY :MARGIBI ",,"ELECTORAL DISTRICT : 1 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
24018,"Prince Wallace Estate Hall ",,"Prince Wallace Estate ",710,2
24019,"Division 16 long Camp Office ",,"Division 16 long Camp ",2190,5
24020,"Division 6 Front Office ",,"Division 6 Front ",967,2
24021,"Monclay Palava Hut ",,"Monclay ",965,2
24026,"Duside Village Office ",,"Duside Village ",1980,4
24030,"Division 9 Old Camp School ",,"Division 9 Old Camp ",1197,3
24031,"Browne Town Palava Hut ",,"Browne Town ",867,2
24033,"Division 11 Office ",,"Division 11 ",1049,3
24034,"Garmaymu Town Palava Hut ",,"Garmaymu ",629,2
24036,"Mambah Civil Compound Palava Hut ",,"Mambah Civil Compound ",1121,3
24050,"Zeor Palava Hut ",,"Zeor ",847,2
24059,"Joezohn Palava Hut ",,"Joezohn - Loongaye ",621,2
24070,"Foe-day Town School ",,"Foe-day ",1083,3
24102,"Lloydsville Public School ",,"Lloydsville / Zeechugb ",168,1
24103,"Scheiffelin Commissioner's Office ",,"Scheiffelin ",1408,3
24104,"J.P. Mitchell School ",,"Scheiffelin ",2357,5
24105,"Dwazon Public School ",,"Dwazon ",3945,8
24106,"Rock Institute School ",,"Rock Church Community ",3995,9
24107,"Kpakpacon Palava Hut ",,"Kpakpacon ",377,1
24108,"Marshall City Hall ",,"Central Marshall ",746,2
24109,"Henry Town Palava Hut ",,"Henny Town ",571,2
24132,"Zeeworh Palava Hut ",,"Zeeworh Town ",1057,3
"Voting ",,,,,"General "
"Precinct ","COUNTY :MARGIBI ",,"ELECTORAL DISTRICT : 2 ",,"Polling "
"Code ","Locality ",,"Address ","Voters ","Places"
24074,"Cotton Tree Community School ",,"Cotton Tree Community ",1893,4
24075,"Hydro Community School ",,"Hydro Community ",291,1
24077,"Bethel World Outreach Church ",,"Bethel World Outreach ",545,2
24078,"Divison 45 Offshore ",,"Divison 45 Offshore ",1627,4
24079,"Divison 45 Dennisville Palava Hut ",,"Divison 45 Dennisville ",1081,3
24080,"Divison 44 Walker School ",,"Divison 44 ",1379,3
24081,"Central Cotton Tree Gas Station ",,"Central Cotton Tree ",1182,3
24082,"Barclay's Farm School ",,"Barclay's Farm ",993,2
24083,"Harbel Multilateral Community School ",,"Harbel Multilateral Community ",1262,3
24084,"Poinea Palava Hut ",,"Poinea ",125,1
24085,"Divison 44 Pinco Camp Palava Hut ",,"Divison 44 Pinco Camp ",392,1
24086,"Harbel Garden School ",,"Harbel Garden ",1364,3
